Web Archiving Tool,Replay System,Web Browser,Containing Web Page URI-R,Containing Web Page URI-M or WARC / WACZ URL,Ad Related URL or Ad Text 1,Ad Related URL or Ad Text 2,Ad Related URL or Ad Text 3,Ad Related URL or Ad Text 4,Ad Related URL or Ad Text 5,Ad Related URL or Ad Text 6,Ad Related URL or Ad Text 7,Ad Related URL or Ad Text 8,Ad Related URL or Ad Text 9,Recorded Session 1 URL,Recorded Session 2 URL,Recorded Session 3 URL,Crawling Session or Live Web Page Video Timestamp,Successful Replay of Ad In Containing Web Page,Replay Issues Description,Ad Type,Successfully Archived
ArchiveWeb.page,ReplayWeb.page,Chrome,https://www.ign.com/articles/the-last-of-us-season-1-review,https://zenodo.org/record/8000975/files/2023-02-07-ads-on-ign_ArchiveWeb_page.wacz?download=1,Video 1 URI-R: https://s-static.innovid.com/media/encoded/01_23/604273/8_source_163708_811440.mp4,,,,,,,,,https://youtu.be/sYIle82V7O4?t=497,https://youtu.be/XuMm5nb53Fk?t=462,,N/A,Yes,No issues,Video,Yes
ArchiveWeb.page,ReplayWeb.page,Chrome,https://www.ign.com/articles/the-last-of-us-season-1-review,https://zenodo.org/record/8000975/files/2023-02-07-ads-on-ign_ArchiveWeb_page.wacz?download=1,"Video 1 URI-R: https://r3---sn-p5qddn76.c.2mdn.net/videoplayback/id/90e144aa6186a8cd/itag/343/source/web_video_ads/ctier/L/acao/yes/ip/0.0.0.0/ipbits/0/expire/3819559307/sparams/acao,ctier,expire,id,ip,ipbits,itag,mh,mip,mm,mn,ms,mv,mvi,pl,source/signature/4A48CDB325046D51A4EB1113A20D94796CFB7880.3B593F204E3538E676D89E38EF43AAF09EA988A1/key/cms1/cms_redirect/yes/mh/WP/mip/108.39.125.110/mm/42/mn/sn-p5qddn76/ms/onc/mt/1675828370/mv/m/mvi/3/pl/19?cpn=iz4Zit8uuA4dqY4Z&file=file.mp4",,,,,,,,,https://youtu.be/sYIle82V7O4?t=376,https://youtu.be/XuMm5nb53Fk,,N/A,Yes,No issues,Video,Yes
ArchiveWeb.page,ReplayWeb.page,Chrome,https://www.ign.com/articles/the-last-of-us-season-1-review,https://zenodo.org/record/8000975/files/2023-02-07-ads-on-ign_ArchiveWeb_page.wacz?download=1,Video 1 URI-R: https://cdn.clinch.co/a_client/534/assets_library/HNMM1021000H_WinsEveryTime_MY21SonataVSAltima_In-Market_15_OLV_GreyBG.mp4,,,,,,,,,https://youtu.be/sYIle82V7O4?t=25,https://youtu.be/XuMm5nb53Fk,,N/A,Sometimes,"Does not replay when using Chrome. It sometimes replays successfully when using Firefox to view the second or third video on the web page. With a recent version of ReplayWeb.page, only the Mailchimp ad plays and does not show this ad when using Firefox.",Video,Yes
ArchiveWeb.page,ReplayWeb.page,Chrome,https://www.ign.com/articles/the-last-of-us-season-1-review,https://zenodo.org/record/8000975/files/2023-02-07-ads-on-ign_ArchiveWeb_page.wacz?download=1,Video 1 URI-R: https://crcdn09.adnxs-simple.com/creative/p/11406/2022/3/31/33149576/900efead-807b-437c-85d8-3051c39357de_768_432_1700k.mp4,,,,,,,,,https://youtu.be/sYIle82V7O4?t=27,https://youtu.be/XuMm5nb53Fk,,N/A,No,No requests were made for this ad during replay. I assume that this ad either lost the bid and did not get replayed or the embedded videos did not reach the time in the video where this ad would have been loaded.,Video,Yes
ArchiveWeb.page,ReplayWeb.page,Chrome,https://www.ign.com/articles/the-last-of-us-season-1-review,https://zenodo.org/record/8000975/files/2023-02-07-ads-on-ign_ArchiveWeb_page.wacz?download=1,Video 1 URI-R: https://crcdn09.adnxs-simple.com/creative/p/11406/2023/1/4/42502962/d04fb8a5-eaee-48bb-a6cd-bebb89f04522_640_360_400k.mp4,,,,,,,,,https://youtu.be/sYIle82V7O4?t=29,https://youtu.be/XuMm5nb53Fk,,N/A,No,No requests were made for this ad during replay. I assume that this ad either lost the bid and did not get replayed or the embedded videos did not reach the time in the video where this ad would have been loaded.,Video,Yes
ArchiveWeb.page,ReplayWeb.page,Chrome,https://www.ign.com/articles/the-last-of-us-season-1-review,https://zenodo.org/record/8000975/files/2023-02-07-ads-on-ign_ArchiveWeb_page.wacz?download=1,Video 1 URI-R: https://crcdn09.adnxs-simple.com/creative/p/1927/2023/1/19/42891725/4d61d8f5-b866-44ef-8a58-f9ceaa8cfd8c_300_250_498k.mp4,Different Video Format: https://crcdn09.adnxs-simple.com/creative/p/1927/2023/1/20/42912355/54070ab5-bfd2-493d-ab40-fbc49e8e438c_300_250_498k.webm,,,,,,,,https://youtu.be/sYIle82V7O4?t=33,https://youtu.be/XuMm5nb53Fk,,N/A,No,No requests were made for this ad during replay. I assume that this ad either lost the bid and did not get replayed or the embedded videos did not reach the time in the video where this ad would have been loaded.,Video,Yes
ArchiveWeb.page,ReplayWeb.page,Chrome,https://www.ign.com/articles/the-last-of-us-season-1-review,https://zenodo.org/record/8000975/files/2023-02-07-ads-on-ign_ArchiveWeb_page.wacz?download=1,Video 1 URI-R: https://crcdn09.adnxs-simple.com/creative/p/1927/2023/1/19/42893527/b08e6715-0899-4f2c-a0a7-9feb519ebaf3_300_250_488k.mp4,,,,,,,,,https://youtu.be/sYIle82V7O4?t=110,https://youtu.be/XuMm5nb53Fk,,N/A,No,No requests were made for this ad during replay. I assume that this ad either lost the bid and did not get replayed or the embedded videos did not reach the time in the video where this ad would have been loaded.,Video,Yes
ArchiveWeb.page,ReplayWeb.page,Chrome,https://www.ign.com/articles/the-last-of-us-season-1-review,https://zenodo.org/record/8000975/files/2023-02-07-ads-on-ign_ArchiveWeb_page.wacz?download=1,"Video 1 URI-R: https://r4---sn-p5qs7nzk.c.2mdn.net/videoplayback/id/6a07b4185eba27c1/itag/343/source/web_video_ads/ctier/L/acao/yes/ip/0.0.0.0/ipbits/0/expire/3816088856/sparams/acao,ctier,expire,id,ip,ipbits,itag,mh,mip,mm,mn,ms,mv,mvi,pl,source/signature/55E330E87AD5D8C94C7B92DC19BCC8BB56156B33.46AF1A759F65710A3AA78F9673C83525097C5AE3/key/cms1/cms_redirect/yes/mh/hU/mip/108.39.125.110/mm/42/mn/sn-p5qs7nzk/ms/onc/mt/1675828370/mv/m/mvi/4/pl/19/file/file.mp4",,,,,,,,,https://youtu.be/sYIle82V7O4?t=415,https://youtu.be/XuMm5nb53Fk,,N/A,No,No requests were made for this ad during replay. I assume that this ad either lost the bid and did not get replayed or the embedded videos did not reach the time in the video where this ad would have been loaded.,Video,Yes
ArchiveWeb.page,ReplayWeb.page,Chrome,https://www.ign.com/articles/the-last-of-us-season-1-review,https://zenodo.org/record/8000975/files/2023-02-07-ads-on-ign_ArchiveWeb_page.wacz?download=1,Image 1 URI-R: https://pg.ignimgs.com/ign/2023/best-buy/qs_2348_g3x3c_desk.jpg,Image 2 URI-R: https://pg.ignimgs.com/ign/2023/best-buy/qs_2348_xkj6t_desk_small.jpg,Image 3 URI-R: https://pg.ignimgs.com/ign/2023/best-buy/qs_2348_rneen_mobile_video_fframe.jpg,Video 1 URI-R: https://pg.ignimgs.com/ign/2023/best-buy/qs_2348_1esic_mobile_video.mp4,,,,,,https://youtu.be/sYIle82V7O4?t=1423,https://youtu.be/XuMm5nb53Fk,,N/A,Yes,No issues,Combination,Yes
ArchiveWeb.page,ReplayWeb.page,Chrome,https://www.ign.com/articles/the-last-of-us-season-1-review,https://zenodo.org/record/8000975/files/2023-02-07-ads-on-ign_ArchiveWeb_page.wacz?download=1,Ad frame URI-R: https://aax-us-east.amazon-adsystem.com/e/dtb/admi?b=JAkcZL99KtnLJUwYJ8dHHdIAAAGGLy8dDAEAAAxWAQBhcHNfdHhuX2JpZDEgICBOL0EgICAgICAgICAgICA_KuR0&rnd=8954498773591675828862700&pp=1wff280&p=e44jk0&crid=arcgnw6w,Embedded Web Page URI-R: https://cdn.flashtalking.com/173980/4163777/index.html,Alternative Ad frame URI-R: https://aax-us-east.amazon-adsystem.com/e/dtb/admi?b=JNjVdMscuZ9AB7uj5jF4xCUAAAGGLzF0tQEAAAxWAQBhcHNfdHhuX2JpZDEgICBOL0EgICAgICAgICAgICDUwpb7&rnd=7051105523431675829016320&pp=1wff280&p=e44jk0&crid=zdxl1p7a,Alternative Ad frame URI-R: https://aax-us-east.amazon-adsystem.com/e/dtb/admi?b=JLNZDfrYzkJoimQ2tdJDH1cAAAGGLy2RRQEAAAxWAQBhcHNfdHhuX2JpZDEgICBOL0EgICAgICAgICAgICDfvZPz&rnd=8888289836721675828817381&pp=1wff280&p=e44jk0&crid=hudvv6f1,Alternative Ad frame URI-R: https://aax-us-east.amazon-adsystem.com/e/dtb/admi?b=JBOjPgIGkw5ekIknbB3aVFQAAAGGLzHskQEAAAxWAQBhcHNfdHhuX2JpZDEgICBOL0EgICAgICAgICAgICBc0yRo&rnd=768689116231675829047009&pp=1wff280&p=e44jk0&crid=zdxl1p7a,,,,,https://youtu.be/sYIle82V7O4?t=557,https://youtu.be/XuMm5nb53Fk,,N/A,Sometimes,"Sometimes when replaying the ad it will load successfully, depending on the version of ReplayWeb.page. Using ReplayWeb.page's ""Purge Cache + Full Reload"" setting can make the ad replay successfully after re-uploading the WACZ file. An update that was made after the recording session make this ad no longer replayable. Video: https://youtu.be/WMm_MKRqipo",Embedded Web Page,Yes
